week,causal_inference
2017-12-03,48
2017-12-10,25
2017-12-17,15
2017-12-24,8
2017-12-31,21
2018-01-07,48
2018-01-14,31
2018-01-21,32
2018-01-28,47
2018-02-04,54
2018-02-11,40
2018-02-18,27
2018-02-25,35
2018-03-04,41
2018-03-11,28
2018-03-18,34
2018-03-25,48
2018-04-01,23
2018-04-08,41
2018-04-15,29
2018-04-22,48
2018-04-29,33
2018-05-06,38
2018-05-13,38
2018-05-20,49
2018-05-27,45
2018-06-03,43
2018-06-10,22
2018-06-17,37
2018-06-24,12
2018-07-01,10
2018-07-08,31
2018-07-15,28
2018-07-22,21
2018-07-29,34
2018-08-05,42
2018-08-12,33
2018-08-19,37
2018-08-26,16
2018-09-02,42
2018-09-09,22
2018-09-16,51
2018-09-23,35
2018-09-30,58
2018-10-07,25
2018-10-14,55
2018-10-21,59
2018-10-28,33
2018-11-04,46
2018-11-11,38
2018-11-18,41
2018-11-25,39
2018-12-02,33
2018-12-09,24
2018-12-16,26
2018-12-23,8
2018-12-30,25
2019-01-06,44
2019-01-13,32
2019-01-20,51
2019-01-27,37
2019-02-03,43
2019-02-10,50
2019-02-17,44
2019-02-24,33
2019-03-03,52
2019-03-10,45
2019-03-17,35
2019-03-24,28
2019-03-31,38
2019-04-07,35
2019-04-14,29
2019-04-21,45
2019-04-28,32
2019-05-05,52
2019-05-12,24
2019-05-19,60
2019-05-26,37
2019-06-02,51
2019-06-09,29
2019-06-16,33
2019-06-23,47
2019-06-30,39
2019-07-07,32
2019-07-14,23
2019-07-21,40
2019-07-28,44
2019-08-04,25
2019-08-11,50
2019-08-18,36
2019-08-25,41
2019-09-01,42
2019-09-08,49
2019-09-15,64
2019-09-22,34
2019-09-29,52
2019-10-06,38
2019-10-13,56
2019-10-20,46
2019-10-27,47
2019-11-03,49
2019-11-10,45
2019-11-17,63
2019-11-24,45
2019-12-01,41
2019-12-08,55
2019-12-15,34
2019-12-22,27
2019-12-29,33
2020-01-05,46
2020-01-12,64
2020-01-19,51
2020-01-26,45
2020-02-02,61
2020-02-09,42
2020-02-16,51
2020-02-23,53
2020-03-01,48
2020-03-08,43
2020-03-15,41
2020-03-22,23
2020-03-29,31
2020-04-05,55
2020-04-12,45
2020-04-19,59
2020-04-26,53
2020-05-03,66
2020-05-10,39
2020-05-17,43
2020-05-24,30
2020-05-31,40
2020-06-07,60
2020-06-14,35
2020-06-21,43
2020-06-28,33
2020-07-05,42
2020-07-12,49
2020-07-19,42
2020-07-26,32
2020-08-02,43
2020-08-09,48
2020-08-16,41
2020-08-23,42
2020-08-30,51
2020-09-06,48
2020-09-13,59
2020-09-20,57
2020-09-27,51
2020-10-04,38
2020-10-11,43
2020-10-18,61
2020-10-25,43
2020-11-01,27
2020-11-08,48
2020-11-15,25
2020-11-22,33
2020-11-29,35
2020-12-06,41
2020-12-13,34
2020-12-20,23
2020-12-27,27
2021-01-03,31
2021-01-10,39
2021-01-17,35
2021-01-24,44
2021-01-31,38
2021-02-07,37
2021-02-14,39
2021-02-21,34
2021-02-28,37
2021-03-07,44
2021-03-14,44
2021-03-21,55
2021-03-28,23
2021-04-04,44
2021-04-11,34
2021-04-18,30
2021-04-25,44
2021-05-02,45
2021-05-09,45
2021-05-16,30
2021-05-23,48
2021-05-30,34
2021-06-06,28
2021-06-13,35
2021-06-20,44
2021-06-27,37
2021-07-04,41
2021-07-11,50
2021-07-18,48
2021-07-25,33
2021-08-01,40
2021-08-08,19
2021-08-15,25
2021-08-22,33
2021-08-29,40
2021-09-05,57
2021-09-12,48
2021-09-19,51
2021-09-26,37
2021-10-03,53
2021-10-10,78
2021-10-17,52
2021-10-24,54
2021-10-31,65
2021-11-07,53
2021-11-14,51
2021-11-21,52
2021-11-28,57
2021-12-05,38
2021-12-12,54
2021-12-19,48
2021-12-26,27
2022-01-02,64
2022-01-09,66
2022-01-16,67
2022-01-23,72
2022-01-30,74
2022-02-06,74
2022-02-13,94
2022-02-20,67
2022-02-27,87
2022-03-06,87
2022-03-13,61
2022-03-20,66
2022-03-27,86
2022-04-03,81
2022-04-10,73
2022-04-17,84
2022-04-24,81
2022-05-01,88
2022-05-08,76
2022-05-15,72
2022-05-22,70
2022-05-29,77
2022-06-05,71
2022-06-12,65
2022-06-19,67
2022-06-26,58
2022-07-03,57
2022-07-10,74
2022-07-17,67
2022-07-24,54
2022-07-31,59
2022-08-07,75
2022-08-14,92
2022-08-21,62
2022-08-28,65
2022-09-04,59
2022-09-11,73
2022-09-18,88
2022-09-25,100
2022-10-02,81
2022-10-09,97
2022-10-16,73
2022-10-23,81
2022-10-30,89
2022-11-06,71
2022-11-13,91
2022-11-20,61
